ID,week,column_or_record,issue,evidence,decision,reason,rule,scope_rows,changed_rows,history_status,original_decision_date
CL013,3,6 môn tổ hợp,Thiếu phụ thuộc nhóm điểm quan sát,src/analyze.py; docs/report+bao_cao.md; outputs/metrics+chi_so.json,Phân lớp ứng viên cấu trúc / chưa rõ,Không có hồ sơ đăng ký để khẳng định nguyên nhân,Suy nhóm từ điểm quan sát; không thay dữ liệu,1013243,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL014,3,Các dòng chỉ có Student ID,Không có điểm và mã ngoại ngữ,src/analyze.py; docs/report+bao_cao.md; outputs/metrics+chi_so.json,Giữ để đối soát,Không suy ra vắng thi,Không xóa dòng,4476,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL015,3,Mathematics: thử nghiệm che điểm,So sánh hai cách điền,src/analyze.py; docs/report+bao_cao.md; outputs/metrics+chi_so.json,Chỉ điền trên bản thử nghiệm,Không thay điểm trong dữ liệu chính,Seed 3020; cùng mặt nạ và dữ liệu fit,10000,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL016,3,Mathematics: thiếu tự nhiên,So sánh độ nhạy giả định,src/analyze.py; docs/report+bao_cao.md; outputs/metrics+chi_so.json,Không xuất điểm điền vào dữ liệu chính,Giả định có điểm thật chưa xác minh,Tách kịch bản giả định,18687,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL017,3,Toàn bộ bản ghi,"Kiểm tra ID trùng, miền điểm và cặp mã/điểm Ngoại ngữ",src/analyze.py; docs/report+bao_cao.md; outputs/metrics+chi_so.json,Không xóa hoặc sửa,Audit không phát hiện vi phạm các phép kiểm này,Kiểm tra không đồng nghĩa xác minh accuracy,1022060,0,Tổng hợp lại từ bằng chứng Week 3; ngày gốc chưa rõ,
CL018,4,Mathematics,Ngoại lệ thống kê,outputs/tables/week4_outlier_comparison.csv,Gắn cờ; giữ điểm,Ngoại lệ không đồng nghĩa lỗi,IQR 1.5; |Z| > 3; ddof=0,1965,0,Quyết định Week 4,
CL019,4,Literature,Ngoại lệ thống kê,outputs/tables/week4_outlier_comparison.csv,Gắn cờ; giữ điểm,Ngoại lệ không đồng nghĩa lỗi,IQR 1.5; |Z| > 3; ddof=0,11697,0,Quyết định Week 4,
CL020,4,Foreign language,Ngoại lệ thống kê,outputs/tables/week4_outlier_comparison.csv,Gắn cờ; giữ điểm,Ngoại lệ không đồng nghĩa lỗi,IQR 1.5; |Z| > 3; ddof=0,0,0,Quyết định Week 4,
CL021,4,Physics,Ngoại lệ thống kê,outputs/tables/week4_outlier_comparison.csv,Gắn cờ; giữ điểm,Ngoại lệ không đồng nghĩa lỗi,IQR 1.5; |Z| > 3; ddof=0,481,0,Quyết định Week 4,
CL022,4,Chemistry,Ngoại lệ thống kê,outputs/tables/week4_outlier_comparison.csv,Gắn cờ; giữ điểm,Ngoại lệ không đồng nghĩa lỗi,IQR 1.5; |Z| > 3; ddof=0,1706,0,Quyết định Week 4,
CL023,4,Biology,Ngoại lệ thống kê,outputs/tables/week4_outlier_comparison.csv,Gắn cờ; giữ điểm,Ngoại lệ không đồng nghĩa lỗi,IQR 1.5; |Z| > 3; ddof=0,1357,0,Quyết định Week 4,
CL024,4,History,Ngoại lệ thống kê,outputs/tables/week4_outlier_comparison.csv,Gắn cờ; giữ điểm,Ngoại lệ không đồng nghĩa lỗi,IQR 1.5; |Z| > 3; ddof=0,270,0,Quyết định Week 4,
CL025,4,Geography,Ngoại lệ thống kê,outputs/tables/week4_outlier_comparison.csv,Gắn cờ; giữ điểm,Ngoại lệ không đồng nghĩa lỗi,IQR 1.5; |Z| > 3; ddof=0,6627,0,Quyết định Week 4,
CL026,4,Civic education,Ngoại lệ thống kê,outputs/tables/week4_outlier_comparison.csv,Gắn cờ; giữ điểm,Ngoại lệ không đồng nghĩa lỗi,IQR 1.5; |Z| > 3; ddof=0,10754,0,Quyết định Week 4,
CL027,4,01053185: Civic education,Ngoại lệ trong top 5,docs/week4_evidence.md#sbd-01053185,Giữ; unresolved,Khớp tệp nguồn và trong miền điểm; chưa có bảng điểm độc lập xác minh.,Chưa có điểm độc lập để sửa,1,0,Quyết định Week 4,
CL028,4,01053192: Civic education,Ngoại lệ trong top 5,docs/week4_evidence.md#sbd-01053192,Giữ; unresolved,Khớp tệp nguồn và trong miền điểm; chưa có bảng điểm độc lập xác minh.,Chưa có điểm độc lập để sửa,1,0,Quyết định Week 4,
CL029,4,01053271: Civic education,Ngoại lệ trong top 5,docs/week4_evidence.md#sbd-01053271,Giữ; unresolved,Khớp tệp nguồn và trong miền điểm; chưa có bảng điểm độc lập xác minh.,Chưa có điểm độc lập để sửa,1,0,Quyết định Week 4,
CL030,4,02016503: Civic education,Ngoại lệ trong top 5,docs/week4_evidence.md#sbd-02016503,Giữ; unresolved,Khớp tệp nguồn và trong miền điểm; chưa có bảng điểm độc lập xác minh.,Chưa có điểm độc lập để sửa,1,0,Quyết định Week 4,
CL031,4,02019084: Civic education,Ngoại lệ trong top 5,docs/week4_evidence.md#sbd-02019084,Giữ; unresolved,Khớp tệp nguồn và trong miền điểm; chưa có bảng điểm độc lập xác minh.,Chưa có điểm độc lập để sửa,1,0,Quyết định Week 4,
CL032,4,Student ID,Kiểm tra cách biểu diễn chuỗi,outputs/tables/week4_text_standardization.csv,Chuẩn hóa và kiểm tra định dạng,Không tạo biến thể giả để làm giảm distinct,NFKC; strip; collapse whitespace,1022060,0,Quyết định Week 4,
CL033,4,Foreign language code,Kiểm tra cách biểu diễn chuỗi,outputs/tables/week4_text_standardization.csv,Chuẩn hóa và kiểm tra định dạng,Không tạo biến thể giả để làm giảm distinct,NFKC; strip; collapse whitespace; uppercase,1022060,0,Quyết định Week 4,
CL034,4,Tên gọi tương đương,Không quan sát biến thể tên,outputs/tables/week4_text_standardization.csv,Không thêm ánh xạ,"Hai cột là mã định danh, không phải tên tự do",Chỉ xử lý biến thể có bằng chứng,0,0,Quyết định Week 4,
CL035,4,Tệp nguồn và đầu ra,Truy vết và kiểm tra bảo toàn,outputs/week4_metrics.json,Giữ bản gốc; xuất bản chuẩn hóa riêng,Cho phép tái lập và đối chiếu,Hash nguồn; kiểm tra round-trip CSV,1022060,0,Quyết định Week 4,
